,Berufliche Ausbildung,Berufsgruppe,Erwerbstaetigkeit,Familienstand,Geburtsjahr,Geburtsland,Geschlecht,Hoechster Bildungsabschluss,Nationalitaet,Nettoeinkommen Haushalt,Nettoeinkommen Selbst,Personen im Haushalt,Umfrage
2758,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1962,Deutschland,Männlich,Realschulabschluss,Deutschland,Missing by filter,Item nonresponse,4,GESIS
2759,Universitätsabschluss,Akademiker/-in in freiem Beruf,Vollzeiterwerbstätig,Geschieden,1953,Deutschland,Männlich,Abitur,Deutschland,2300 bis unter 2600 €,2300 bis unter 2600 €,2,GESIS
2760,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Angestellte(r),Vollzeiterwerbstätig,Ledig,1991,Deutschland,Weiblich,Hochschulabschluss,Deutschland,1700 bis unter 2000 €,700 bis unter 900 €,3,GESIS
2761,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1979,Deutschland,Weiblich,Hauptschulabschluss,Andere,2000 bis unter 2300 €,unter 300 €,4,GESIS
2762,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1987,Andere,Weiblich,Hochschulabschluss,Deutschland,2600 bis unter 3200 €,300 bis unter 500 €,4,GESIS
2763,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Ledig,1982,Deutschland,Weiblich,Realschulabschluss,Deutschland,2600 bis unter 3200 €,1100 bis unter 1300 €,2,GESIS
2764,Fachhochschulabschluss,Angestellte(r),Vollzeiterwerbstätig,Ledig,1979,Deutschland,Männlich,Abitur,Deutschland,6000 € und mehr,4000 bis unter 5000 €,2,GESIS
2765,Fachhochschulabschluss,Selbstständiger,Vollzeiterwerbstätig,Ledig,1964,Deutschland,Männlich,Abitur,Deutschland,3200 bis unter 4000 €,2000 bis unter 2300 €,4,GESIS
2766,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Geschieden,1962,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,Missing by filter,900 bis unter 1100 €,1,GESIS
2767,Fachhochschulabschluss,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1956,Deutschland,Weiblich,Abitur,Deutschland,4000 bis unter 5000 €,2300 bis unter 2600 €,2,GESIS
2768,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1956,Deutschland,Weiblich,Realschulabschluss,Deutschland,2600 bis unter 3200 €,Kein eigenes Einkommen,2,GESIS
2769,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1956,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,Missing by filter,Item nonresponse,2,GESIS
2770,Beruflich-betriebliche Berufsausbildung,"Beamter/-in, Richter/-in, Berufssoldat/-in",Teilzeiterwerbstätig,Verheiratet,1955,Deutschland,Weiblich,Abitur,Deutschland,3200 bis unter 4000 €,1100 bis unter 1300 €,2,GESIS
2771,Beruflich-schulische Ausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1945,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,Missing by filter,1300 bis unter 1500 €,1,GESIS
2772,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1947,Deutschland,Männlich,Hauptschulabschluss,Deutschland,Missing by filter,Item nonresponse,2,GESIS
2773,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Vollzeiterwerbstätig,Ledig,1970,Andere,Männlich,Abitur,Andere,Missing by filter,2000 bis unter 2300 €,1,GESIS
2774,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Vollzeiterwerbstätig,Ledig,1979,Andere,Männlich,Realschulabschluss,Deutschland,Item nonresponse,1500 bis unter 1700 €,2,GESIS
2775,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Vollzeiterwerbstätig,Verheiratet,1954,Deutschland,Weiblich,Realschulabschluss,Deutschland,2000 bis unter 2300 €,1500 bis unter 1700 €,2,GESIS
2776,Universitätsabschluss,Angestellte(r),Vollzeiterwerbstätig,Ledig,1961,Deutschland,Männlich,Abitur,Deutschland,Missing by filter,3200 bis unter 4000 €,1,GESIS
2777,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Arbeiter/-in,Vollzeiterwerbstätig,Geschieden,1957,Andere,Männlich,Realschulabschluss,Andere,Missing by filter,1300 bis unter 1500 €,1,GESIS
2778,Student/-in,Ausbildung,Teilzeiterwerbstätig,Ledig,1991,Deutschland,Weiblich,Abitur,Deutschland,2000 bis unter 2300 €,unter 300 €,3,GESIS
2779,Beruflich-schulische Ausbildung,Angestellte(r),Teilzeiterwerbstätig,Geschieden,1962,Deutschland,Weiblich,Hochschulabschluss,Deutschland,2600 bis unter 3200 €,1300 bis unter 1500 €,3,GESIS
2780,Universitätsabschluss,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1953,Deutschland,Männlich,Abitur,Deutschland,4000 bis unter 5000 €,4000 bis unter 5000 €,2,GESIS
2781,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Missing by filter,Nicht erwerbstätig,Verheiratet,1947,Deutschland,Männlich,Hauptschulabschluss,Deutschland,1700 bis unter 2000 €,1100 bis unter 1300 €,3,GESIS
2782,Beruflich-betriebliche Berufsausbildung,Selbstständiger,Vollzeiterwerbstätig,Verheiratet,1966,Deutschland,Männlich,Realschulabschluss,Deutschland,2600 bis unter 3200 €,2300 bis unter 2600 €,5 und mehr,GESIS
2783,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Arbeiter/-in,Teilzeiterwerbstätig,Verheiratet,1964,Andere,Weiblich,Hauptschulabschluss,Andere,1500 bis unter 1700 €,300 bis unter 500 €,4,GESIS
2784,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Selbstständiger,Vollzeiterwerbstätig,Ledig,1972,Deutschland,Männlich,Hauptschulabschluss,Deutschland,Missing by filter,900 bis unter 1100 €,1,GESIS
2785,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1969,Deutschland,Weiblich,Realschulabschluss,Deutschland,4000 bis unter 5000 €,700 bis unter 900 €,4,GESIS
2786,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Vollzeiterwerbstätig,Verheiratet,1961,Deutschland,Männlich,Realschulabschluss,Deutschland,2000 bis unter 2300 €,1700 bis unter 2000 €,2,GESIS
2787,Beruflich-schulische Ausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1972,Deutschland,Weiblich,Hochschulabschluss,Deutschland,4000 bis unter 5000 €,700 bis unter 900 €,4,GESIS
2788,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Missing by filter,Nicht erwerbstätig,Geschieden,1972,Andere,Weiblich,Andere,Andere,1700 bis unter 2000 €,900 bis unter 1100 €,3,GESIS
2789,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1968,Deutschland,Weiblich,Realschulabschluss,Deutschland,3200 bis unter 4000 €,1100 bis unter 1300 €,3,GESIS
2790,Student/-in,Angestellte(r),Teilzeiterwerbstätig,Ledig,1991,Deutschland,Männlich,Abitur,Deutschland,1500 bis unter 1700 €,900 bis unter 1100 €,2,GESIS
2791,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Selbstständiger,Vollzeiterwerbstätig,Ledig,1967,Deutschland,Männlich,Hochschulabschluss,Deutschland,6000 € und mehr,5000 € und mehr,3,GESIS
2792,Missing by filter,Missing by filter,Nicht erwerbstätig,Ledig,1994,Deutschland,Männlich,Andere,Deutschland,700 € und weniger,unter 300 €,3,GESIS
2793,Beruflich-schulische Ausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1947,Deutschland,Weiblich,Realschulabschluss,Deutschland,2600 bis unter 3200 €,700 bis unter 900 €,2,GESIS
2794,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Vollzeiterwerbstätig,Verheiratet,1967,Deutschland,Männlich,Hauptschulabschluss,Deutschland,2000 bis unter 2300 €,1100 bis unter 1300 €,3,GESIS
2795,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Missing by filter,Nicht erwerbstätig,Verheiratet,1947,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,Missing by filter,Item nonresponse,3,GESIS
2796,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Arbeiter/-in,Vollzeiterwerbstätig,Geschieden,1964,Deutschland,Männlich,Realschulabschluss,Deutschland,1700 bis unter 2000 €,1100 bis unter 1300 €,4,GESIS
2797,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Ledig,1988,Deutschland,Männlich,Realschulabschluss,Deutschland,Missing by filter,Item nonresponse,3,GESIS
2798,Student/-in,Missing by filter,Nicht erwerbstätig,Ledig,1994,Deutschland,Weiblich,Abitur,Deutschland,2600 bis unter 3200 €,Kein eigenes Einkommen,5 und mehr,GESIS
2799,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1945,Deutschland,Männlich,Hauptschulabschluss,Deutschland,3200 bis unter 4000 €,2000 bis unter 2300 €,4,GESIS
2800,Universitätsabschluss,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1976,Deutschland,Weiblich,Abitur,Deutschland,5000 bis unter 6000 €,1700 bis unter 2000 €,4,GESIS
2801,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1951,Deutschland,Männlich,Realschulabschluss,Deutschland,2000 bis unter 2300 €,1100 bis unter 1300 €,2,GESIS
2802,Universitätsabschluss,Angestellte(r),Vollzeiterwerbstätig,Ledig,1978,Andere,Männlich,Abitur,Andere,Missing by filter,2300 bis unter 2600 €,1,GESIS
2803,Student/-in,Missing by filter,Nicht erwerbstätig,Ledig,1992,Deutschland,Weiblich,Abitur,Deutschland,Weiß nicht,Kein eigenes Einkommen,5 und mehr,GESIS
2804,Universitätsabschluss,Akademiker/-in in freiem Beruf,Vollzeiterwerbstätig,Verheiratet,1965,Deutschland,Weiblich,Abitur,Deutschland,6000 € und mehr,5000 € und mehr,4,GESIS
2805,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1953,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,3200 bis unter 4000 €,1300 bis unter 1500 €,2,GESIS
2806,Universitätsabschluss,Selbstständiger,Nicht erwerbstätig,Verheiratet,1982,Deutschland,Weiblich,Abitur,Deutschland,1700 bis unter 2000 €,unter 300 €,3,GESIS
2807,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1978,Deutschland,Weiblich,Abitur,Deutschland,Missing by filter,Item nonresponse,3,GESIS
2808,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1982,Deutschland,Männlich,Hauptschulabschluss,Deutschland,2600 bis unter 3200 €,1100 bis unter 1300 €,3,GESIS
2809,Beruflich-schulische Ausbildung,Selbstständiger Landwirt/-in,Teilzeiterwerbstätig,Ledig,1970,Deutschland,Weiblich,Hochschulabschluss,Deutschland,4000 bis unter 5000 €,4000 bis unter 5000 €,2,GESIS
2810,Missing by filter,Missing by filter,Nicht erwerbstätig,Ledig,1995,Deutschland,Weiblich,Andere,Deutschland,6000 € und mehr,unter 300 €,4,GESIS
2811,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Geschieden,1966,Deutschland,Männlich,Realschulabschluss,Deutschland,Missing by filter,1300 bis unter 1500 €,1,GESIS
2812,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Arbeiter/-in,Vollzeiterwerbstätig,Ledig,1957,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,3200 bis unter 4000 €,1100 bis unter 1300 €,2,GESIS
2813,Universitätsabschluss,Missing by filter,Nicht erwerbstätig,Geschieden,1950,Deutschland,Männlich,Abitur,Deutschland,4000 bis unter 5000 €,1100 bis unter 1300 €,2,GESIS
2814,Noch in beruflicher Ausbildung,Missing by filter,Vollzeiterwerbstätig,Ledig,1995,Deutschland,Männlich,Realschulabschluss,Deutschland,Weiß nicht,700 bis unter 900 €,5 und mehr,GESIS
2815,Item nonresponse,Missing by filter,Nicht erwerbstätig,Verheiratet,1964,Andere,Weiblich,,Andere,1500 bis unter 1700 €,900 bis unter 1100 €,4,GESIS
2816,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1953,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,4000 bis unter 5000 €,1300 bis unter 1500 €,3,GESIS
2817,Beruflich-schulische Ausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1986,Andere,Männlich,Hauptschulabschluss,Deutschland,2000 bis unter 2300 €,1700 bis unter 2000 €,3,GESIS
2818,Student/-in,Angestellte(r),Teilzeiterwerbstätig,Ledig,1992,Deutschland,Männlich,Abitur,Deutschland,Weiß nicht,500 bis unter 700 €,4,GESIS
2819,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1983,Deutschland,Männlich,Realschulabschluss,Deutschland,1500 bis unter 1700 €,1500 bis unter 1700 €,3,GESIS
2820,Fachhochschulabschluss,Missing by filter,Nicht erwerbstätig,Verheiratet,1969,Andere,Weiblich,Hochschulabschluss,Andere,Missing by filter,Item nonresponse,4,GESIS
2821,Universitätsabschluss,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1970,Andere,Männlich,Realschulabschluss,Deutschland,2300 bis unter 2600 €,1500 bis unter 1700 €,4,GESIS
2822,Universitätsabschluss,"Beamter/-in, Richter/-in, Berufssoldat/-in",Teilzeiterwerbstätig,Ledig,1952,Deutschland,Männlich,Abitur,Deutschland,Missing by filter,2300 bis unter 2600 €,1,GESIS
2823,Beruflich-schulische Ausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1973,Deutschland,Männlich,Abitur,Deutschland,4000 bis unter 5000 €,2600 bis unter 3200 €,2,GESIS
2824,Fachhochschulabschluss,Missing by filter,Nicht erwerbstätig,Geschieden,1952,Deutschland,Männlich,Abitur,Deutschland,Missing by filter,700 bis unter 900 €,1,GESIS
2825,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1962,Andere,Männlich,Realschulabschluss,Andere,Missing by filter,unter 300 €,1,GESIS
2826,Universitätsabschluss,Selbstständiger,Vollzeiterwerbstätig,Verheiratet,1979,Deutschland,Männlich,Abitur,Deutschland,4000 bis unter 5000 €,4000 bis unter 5000 €,2,GESIS
2827,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1948,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,4000 bis unter 5000 €,700 bis unter 900 €,2,GESIS
2828,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Selbstständiger,Vollzeiterwerbstätig,Verheiratet,1975,Deutschland,Männlich,Abitur,Deutschland,4000 bis unter 5000 €,2300 bis unter 2600 €,5 und mehr,GESIS
2829,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Vollzeiterwerbstätig,Ledig,1961,Deutschland,Männlich,Hauptschulabschluss,Deutschland,3200 bis unter 4000 €,2000 bis unter 2300 €,2,GESIS
2830,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Missing by filter,Nicht erwerbstätig,Ledig,1991,Deutschland,Weiblich,Andere,Deutschland,Weiß nicht,unter 300 €,5 und mehr,GESIS
2831,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1958,Deutschland,Weiblich,Realschulabschluss,Deutschland,2600 bis unter 3200 €,500 bis unter 700 €,2,GESIS
2832,Beruflich-schulische Ausbildung,Angestellte(r),Teilzeiterwerbstätig,Ledig,1994,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,Weiß nicht,1100 bis unter 1300 €,4,GESIS
2833,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Teilzeiterwerbstätig,Verheiratet,1951,Andere,Weiblich,Realschulabschluss,Deutschland,1500 bis unter 1700 €,500 bis unter 700 €,2,GESIS
2834,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Missing by filter,Nicht erwerbstätig,Verheiratet,1945,Deutschland,Männlich,Hauptschulabschluss,Deutschland,4000 bis unter 5000 €,2600 bis unter 3200 €,2,GESIS
2835,Beruflich-betriebliche Berufsausbildung,Mithelfende(r) Familienangehörige(r),Vollzeiterwerbstätig,Verheiratet,1972,Deutschland,Weiblich,Abitur,Deutschland,2300 bis unter 2600 €,Kein eigenes Einkommen,3,GESIS
2836,Beruflich-schulische Ausbildung,Angestellte(r),Teilzeiterwerbstätig,Geschieden,1959,Deutschland,Weiblich,Realschulabschluss,Deutschland,Missing by filter,1100 bis unter 1300 €,1,GESIS
2837,Universitätsabschluss,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1957,Deutschland,Männlich,Abitur,Deutschland,2000 bis unter 2300 €,1700 bis unter 2000 €,2,GESIS
2838,Universitätsabschluss,"Beamter/-in, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1954,Deutschland,Weiblich,Abitur,Deutschland,6000 € und mehr,2600 bis unter 3200 €,3,GESIS
2839,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Missing by filter,Nicht erwerbstätig,Ledig,1946,Deutschland,Weiblich,Realschulabschluss,Deutschland,Missing by filter,1100 bis unter 1300 €,1,GESIS
2840,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Vollzeiterwerbstätig,Verheiratet,1960,Deutschland,Männlich,Hauptschulabschluss,Deutschland,Missing by filter,900 bis unter 1100 €,1,GESIS
2841,Beruflich-schulische Ausbildung,Angestellte(r),Teilzeiterwerbstätig,Verheiratet,1955,Deutschland,Weiblich,Realschulabschluss,Deutschland,2300 bis unter 2600 €,500 bis unter 700 €,2,GESIS
2842,Noch in beruflicher Ausbildung,Ausbildung,Vollzeiterwerbstätig,Ledig,1987,Andere,Männlich,Realschulabschluss,Deutschland,Weiß nicht,500 bis unter 700 €,2,GESIS
2843,Fachhochschulabschluss,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1954,Deutschland,Weiblich,Abitur,Deutschland,4000 bis unter 5000 €,1700 bis unter 2000 €,2,GESIS
2844,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1949,Deutschland,Männlich,Hauptschulabschluss,Deutschland,1700 bis unter 2000 €,900 bis unter 1100 €,2,GESIS
2845,Noch in beruflicher Ausbildung,Missing by filter,Vollzeiterwerbstätig,Ledig,1995,Deutschland,Männlich,Realschulabschluss,Deutschland,3200 bis unter 4000 €,300 bis unter 500 €,4,GESIS
2846,Beruflich-betriebliche Berufsausbildung,Arbeiter/-in,Vollzeiterwerbstätig,Geschieden,1955,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,Missing by filter,Item nonresponse,1,GESIS
2847,Student/-in,Missing by filter,Nicht erwerbstätig,Ledig,1992,Deutschland,Weiblich,Abitur,Deutschland,Item nonresponse,Kein eigenes Einkommen,5 und mehr,GESIS
2848,Fachhochschulabschluss,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1968,,Männlich,Hauptschulabschluss,Deutschland,1500 bis unter 1700 €,1300 bis unter 1500 €,4,GESIS
2849,Universitätsabschluss,Angestellte(r),Vollzeiterwerbstätig,Geschieden,1959,Deutschland,Weiblich,Abitur,Deutschland,2600 bis unter 3200 €,3200 bis unter 4000 €,2,GESIS
2850,Fachhochschulabschluss,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1960,Deutschland,Männlich,Hochschulabschluss,Deutschland,Missing by filter,Item nonresponse,3,GESIS
2851,Beruflich-schulische Ausbildung,Missing by filter,Nicht erwerbstätig,Geschieden,1945,Deutschland,Weiblich,Realschulabschluss,Deutschland,Missing by filter,900 bis unter 1100 €,1,GESIS
2852,Universitätsabschluss,Missing by filter,Nicht erwerbstätig,Verheiratet,1976,Deutschland,Weiblich,Abitur,Deutschland,3200 bis unter 4000 €,1500 bis unter 1700 €,3,GESIS
2853,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Geschieden,1943,Deutschland,Männlich,Hauptschulabschluss,Deutschland,Missing by filter,1100 bis unter 1300 €,1,GESIS
2854,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Geschieden,1965,Deutschland,Weiblich,Realschulabschluss,Deutschland,Missing by filter,2000 bis unter 2300 €,1,GESIS
2855,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1977,Deutschland,Männlich,Realschulabschluss,Deutschland,2000 bis unter 2300 €,1100 bis unter 1300 €,5 und mehr,GESIS
2856,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1980,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,2600 bis unter 3200 €,unter 300 €,5 und mehr,GESIS
2857,Fachhochschulabschluss,Missing by filter,Nicht erwerbstätig,Verheiratet,1953,Deutschland,Weiblich,Hochschulabschluss,Deutschland,1100 bis unter 1300 €,700 bis unter 900 €,2,GESIS
2858,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1977,Deutschland,Weiblich,Abitur,Deutschland,2600 bis unter 3200 €,500 bis unter 700 €,4,GESIS
2859,Missing by filter,Angestellte(r),Teilzeiterwerbstätig,Ledig,1995,Andere,Weiblich,Andere,Andere,4000 bis unter 5000 €,unter 300 €,4,GESIS
2860,Beruflich-schulische Ausbildung,Angestellte(r),Teilzeiterwerbstätig,Geschieden,1961,Deutschland,Weiblich,Abitur,Deutschland,5000 bis unter 6000 €,2600 bis unter 3200 €,4,GESIS
2861,Beruflich-betriebliche Berufsausbildung,Missing by filter,Vollzeiterwerbstätig,Verheiratet,1956,Deutschland,Männlich,Realschulabschluss,Deutschland,2000 bis unter 2300 €,900 bis unter 1100 €,3,GESIS
2862,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Arbeiter/-in,Nicht erwerbstätig,Ledig,1953,Deutschland,Männlich,Abitur,Deutschland,Missing by filter,700 bis unter 900 €,1,GESIS
2863,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Geschieden,1975,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,1500 bis unter 1700 €,900 bis unter 1100 €,2,GESIS
2864,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Verheiratet,1969,Andere,Weiblich,Realschulabschluss,Deutschland,1100 bis unter 1300 €,300 bis unter 500 €,3,GESIS
2865,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Ledig,1986,Deutschland,Weiblich,Realschulabschluss,Deutschland,Missing by filter,1700 bis unter 2000 €,1,GESIS
2866,Beruflich-betriebliche Berufsausbildung,Missing by filter,Nicht erwerbstätig,Ledig,1968,Deutschland,Männlich,Realschulabschluss,Deutschland,Missing by filter,300 bis unter 500 €,1,GESIS
2867,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Teilzeiterwerbstätig,Geschieden,1968,Deutschland,Weiblich,Abitur,Deutschland,2000 bis unter 2300 €,2000 bis unter 2300 €,4,GESIS
2868,Beruflich-betriebliche Berufsausbildung,Missing by filter,Vollzeiterwerbstätig,Ledig,1995,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,Weiß nicht,700 bis unter 900 €,4,GESIS
2869,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Ledig,1979,Deutschland,Männlich,Hochschulabschluss,Deutschland,6000 € und mehr,5000 € und mehr,2,GESIS
2870,Universitätsabschluss,"Beamter/-in, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Ledig,nan,Deutschland,Weiblich,Abitur,Deutschland,Missing by filter,Item nonresponse,2,GESIS
2871,Beruflich-schulische Ausbildung,"Beamter/-in, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1953,Deutschland,Männlich,Realschulabschluss,Deutschland,4000 bis unter 5000 €,3200 bis unter 4000 €,3,GESIS
2872,Beruflich-betriebliche Berufsausbildung,Missing by filter,Teilzeiterwerbstätig,Verheiratet,1949,Deutschland,Männlich,Hauptschulabschluss,Deutschland,3200 bis unter 4000 €,2000 bis unter 2300 €,3,GESIS
2873,Missing by filter,Missing by filter,Nicht erwerbstätig,Ledig,1995,Deutschland,Weiblich,Andere,Deutschland,4000 bis unter 5000 €,Kein eigenes Einkommen,4,GESIS
2874,Universitätsabschluss,Angestellte(r),Vollzeiterwerbstätig,Ledig,1986,Deutschland,Männlich,Abitur,Deutschland,Missing by filter,1700 bis unter 2000 €,1,GESIS
2875,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1955,Deutschland,Männlich,Hauptschulabschluss,Deutschland,Missing by filter,Item nonresponse,2,GESIS
2876,Beruflich-betriebliche Berufsausbildung,Selbstständiger,Vollzeiterwerbstätig,Verheiratet,1960,Deutschland,Männlich,Realschulabschluss,Deutschland,3200 bis unter 4000 €,2300 bis unter 2600 €,2,GESIS
2877,Beruflich-schulische Ausbildung,Angestellte(r),Teilzeiterwerbstätig,Ledig,1978,Deutschland,Weiblich,Abitur,Deutschland,3200 bis unter 4000 €,900 bis unter 1100 €,3,GESIS
2878,Universitätsabschluss,Missing by filter,Nicht erwerbstätig,Ledig,1990,Deutschland,Männlich,Abitur,Deutschland,Missing by filter,Item nonresponse,1,GESIS
2879,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1976,Deutschland,Männlich,Realschulabschluss,Deutschland,2300 bis unter 2600 €,2000 bis unter 2300 €,3,GESIS
2880,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Ledig,1991,Deutschland,Männlich,Hauptschulabschluss,Deutschland,Weiß nicht,500 bis unter 700 €,2,GESIS
2881,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1965,Deutschland,Weiblich,Realschulabschluss,Deutschland,3200 bis unter 4000 €,1700 bis unter 2000 €,4,GESIS
2882,Universitätsabschluss,Angestellte(r),Teilzeiterwerbstätig,Geschieden,1955,Deutschland,Männlich,Abitur,Deutschland,Missing by filter,2000 bis unter 2300 €,1,GESIS
2883,Beruflich-betriebliche Berufsausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1965,Deutschland,Männlich,Realschulabschluss,Deutschland,2600 bis unter 3200 €,2000 bis unter 2300 €,2,GESIS
2884,"Ausbildung an Fach-, Meister-, Technikerschule,Berufs- oder Fachakademie",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1961,Deutschland,Weiblich,Realschulabschluss,Deutschland,2600 bis unter 3200 €,1500 bis unter 1700 €,2,GESIS
2885,"Kein beruflicher Abschluss, nicht beruflicher Ausbildung",Angestellte(r),Vollzeiterwerbstätig,Ledig,1956,Deutschland,Männlich,Abitur,Deutschland,Missing by filter,1300 bis unter 1500 €,1,GESIS
